sku,brand,name,category,size,colour,material,pack_price,pack_size,quantity_variant_size_and_price,description_detailed,description_short,description_standard,meta_title,meta_description,certifications
VEG-BGG-8,Vegware,Size 3 Gourmet Lid,Bagasse Eco Range,,,Bagasse,37.86,600,Case (600): £37.86 | Pack (50): £7.91,"The Vegware bagasse Size 3 Gourmet Lid is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Certified compostable - breaks down in industrial composting facilities.",Vegware bagasse Size 3 Gourmet Lid. Compostable.,"Vegware bagasse Size 3 Gourmet Lid - secure-fit lid for compatible containers. Keeps contents fresh. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Size 3 Gourmet Lid Compostable | Afida,Shop Vegware bagasse Size 3 Gourmet Lid - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-7,Vegware,Size 3 Gourmet Lid,Bagasse Eco Range,,,PLA,93.59,600,Case (600): £93.59 | Pack (50): £17.23,"The Vegware PLA Size 3 Gourmet Lid is lined with PLA, a plant-based bioplastic derived from cornstarch. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Certified compostable - breaks down in industrial composting facilities.",Vegware PLA Size 3 Gourmet Lid. Compostable.,"Vegware PLA Size 3 Gourmet Lid - secure-fit lid for compatible containers. Keeps contents fresh. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Size 3 Gourmet Lid Compostable | Afida,Shop Vegware PLA Size 3 Gourmet Lid - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
BAG-12,,Lined Food Bags,Bags,12 inch,,Foil,32.52,450,,"The 12 inch foil Lined Food Bags is made from aluminium foil for excellent heat retention and barrier protection. Foil-lined interior provides excellent heat retention, keeping hot food warm during delivery and collection. The outer paper layer remains cool and comfortable to hold. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",12 inch foil Lined Food Bags.,"12 inch foil Lined Food Bags - foil-lined for heat retention. Keeps hot food warm and fresh. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Lined Food Bags 12 inch Foil | Afida,Shop 12 inch foil Lined Food Bags. Cases of 450. Free UK delivery over £100. Order at Afida.,
BAG-170-BK,,Gingham 2 Open-Sided Bags,Bags,,Black,,24.00,1000,,"The black Gingham 2 Open-Sided Bags. Two open sides provide easy access for wrapping food quickly at the counter. A fast, efficient option for high-volume service - ideal for sandwiches, crepes, and flat bread items.",black Gingham 2 Open-Sided Bags.,"black Gingham 2 Open-Sided Bags - open sides for easy access and quick food wrapping. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Gingham 2 Open-Sided Bags | Afida,Shop Gingham 2 Open-Sided Bags. Cases of 1000. Free UK delivery over £100. Order at Afida.,
BAG-170-BL,,Gingham 2 Open-Sided Bags,Bags,,Blue,,24.00,1000,,"The blue Gingham 2 Open-Sided Bags. Two open sides provide easy access for wrapping food quickly at the counter. A fast, efficient option for high-volume service - ideal for sandwiches, crepes, and flat bread items.",blue Gingham 2 Open-Sided Bags.,"blue Gingham 2 Open-Sided Bags - open sides for easy access and quick food wrapping. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Gingham 2 Open-Sided Bags | Afida,Shop Gingham 2 Open-Sided Bags. Cases of 1000. Free UK delivery over £100. Order at Afida.,
BAG-CR-BL,,Carrier Bags,Bags,11 x 17 x 21,Blue,Plastic,13.74,1000,,"The 11 x 17 x 21 blue plastic Carrier Bags is made from durable plastic for reliable everyday use. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",11 x 17 x 21 blue plastic Carrier Bags.,"11 x 17 x 21 blue plastic Carrier Bags - strong handles for comfortable carrying. Ideal for takeaway orders. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Carrier Bags 11 x 17 x 21 Plastic | Afida,Shop 11 x 17 x 21 plastic Carrier Bags. Cases of 1000. Free UK delivery over £100. Order at Afida.,
BAG-KR-3,,Wide Bag/Takeaway Bag,Bags,250mm,Brown,Kraft,42.15,250,,"The 250mm brown kraft Wide Bag/Takeaway Bag is constructed from kraft board, an unbleached paper with natural strength. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",250mm brown kraft Wide Bag/Takeaway Bag.,"250mm brown kraft Wide Bag/Takeaway Bag - strong handles for comfortable carrying. Ideal for takeaway orders. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Wide Bag/Takeaway Bag 250mm Kraft | Afida,Shop 250mm kraft Wide Bag/Takeaway Bag. Cases of 250. Free UK delivery over £100. Order at Afida.,
BAG-205-CL,,Natureflex Bag,Bags,,Clear,,79.05,1000,,"The clear Natureflex Bag. Made with NatureFlex, a transparent cellulose-based film that is compostable. Provides excellent product visibility while keeping contents fresh. Heat-sealable for tamper-evident packaging. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",clear Natureflex Bag. Compostable.,"clear Natureflex Bag - clear, compostable NatureFlex film for product visibility. Heat-sealable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Natureflex Bag Compostable | Afida,Shop Natureflex Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
BAG-210-CL,,Natureflex Bag,Bags,,Clear,,44.80,1000,,"The clear Natureflex Bag. Made with NatureFlex, a transparent cellulose-based film that is compostable. Provides excellent product visibility while keeping contents fresh. Heat-sealable for tamper-evident packaging. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",clear Natureflex Bag. Compostable.,"clear Natureflex Bag - clear, compostable NatureFlex film for product visibility. Heat-sealable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Natureflex Bag Compostable | Afida,Shop Natureflex Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
BAG-350-CL-2,,Natureflex Baguette Bag,Bags,,Clear,,79.39,1000,,"The clear Natureflex Baguette Bag. Sized specifically for baguettes, sub rolls, and long bread products. Keeps contents fresh while remaining easy to open for serving or eating on the go. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",clear Natureflex Baguette Bag. Compostable.,"clear Natureflex Baguette Bag - sized for baguettes and long rolls. Keeps bread fresh and visible. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Natureflex Baguette Bag Compostable | Afida,Shop Natureflex Baguette Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
BAG-350-CL,,Natureflex Baguette Bag With Gusset,Bags,,Clear,,104.55,1000,,"The clear Natureflex Baguette Bag With Gusset. Sized specifically for baguettes, sub rolls, and long bread products. Keeps contents fresh while remaining easy to open for serving or eating on the go. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",clear Natureflex Baguette Bag With Gusset. Compostable.,"clear Natureflex Baguette Bag With Gusset - sized for baguettes and long rolls. Keeps bread fresh and visible. Compostable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Natureflex Baguette Bag With Gusset Compostable | Afida,Shop Natureflex Baguette Bag With Gusset - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
BAG-180-CL,,Natureflex Multi Bag,Bags,,Clear,,79.99,1000,,"The clear Natureflex Multi Bag. Made with NatureFlex, a transparent cellulose-based film that is compostable. Provides excellent product visibility while keeping contents fresh. Heat-sealable for tamper-evident packaging. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",clear Natureflex Multi Bag. Compostable.,"clear Natureflex Multi Bag - clear, compostable NatureFlex film for product visibility. Heat-sealable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Natureflex Multi Bag Compostable | Afida,Shop Natureflex Multi Bag - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
BAG-240-CL,,Natureflex Multi Bag with Gusset,Bags,,Clear,,98.43,1000,,"The clear Natureflex Multi Bag with Gusset. Made with NatureFlex, a transparent cellulose-based film that is compostable. Provides excellent product visibility while keeping contents fresh. Heat-sealable for tamper-evident packaging. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",clear Natureflex Multi Bag with Gusset. Compostable.,"clear Natureflex Multi Bag with Gusset - clear, compostable NatureFlex film for product visibility. Heat-sealable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Natureflex Multi Bag with Gusset Compostable | Afida,Shop Natureflex Multi Bag with Gusset - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.,Compostable
BAG-170-2,,Contact Grill Bag,Bags,40mm,,,64.52,600,,"The 40mm Contact Grill Bag. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",40mm Contact Grill Bag. Compostable and recyclable.,"40mm Contact Grill Bag - heat-resistant bag for toasted sandwiches and paninis on contact grills. Compostable and recyclable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Contact Grill Bag 40mm Compostable | Afida,Shop 40mm Contact Grill Bag - compostable & recyclable. Cases of 600. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
BAG-195,,Contact Grill Bag,Bags,40mm,,,56.40,500,,"The 40mm Contact Grill Bag. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",40mm Contact Grill Bag. Compostable and recyclable.,"40mm Contact Grill Bag - heat-resistant bag for toasted sandwiches and paninis on contact grills. Compostable and recyclable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Contact Grill Bag 40mm Compostable | Afida,Shop 40mm Contact Grill Bag - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
BAG-RC-200,,Contact Grill Bag Rectangular,Bags,40mm,,,99.30,1000,,"The 40mm Contact Grill Bag Rectangular. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",40mm Contact Grill Bag Rectangular. Compostable and recyclable.,"40mm Contact Grill Bag Rectangular - heat-resistant bag for toasted sandwiches and paninis on contact grills. Compostable and recyclable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Contact Grill Bag Rectangular 40mm Compostable | Afida,Shop 40mm Contact Grill Bag Rectangular - compostable & recyclable. Cases of 1000. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
BAG-260,,Contact Grill Bag,Bags,40mm,,,61.65,500,,"The 40mm Contact Grill Bag. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",40mm Contact Grill Bag. Compostable and recyclable.,"40mm Contact Grill Bag - heat-resistant bag for toasted sandwiches and paninis on contact grills. Compostable and recyclable. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",Contact Grill Bag 40mm Compostable | Afida,Shop 40mm Contact Grill Bag - compostable & recyclable. Cases of 500. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
